candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,specific_business,general_industry,broad_sector,#_of_records,total_$
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,UNITEMIZED (SMALL) CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,9,"$35,867,130"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,UNCODED,UNCODED,UNCODED,"237,924","$34,313,659"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,UNCODED,UNCODED,UNCODED,"118,919","$16,421,383"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,UNITEMIZED (SMALL) CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,25,"$13,508,196"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,REPUBLICAN JOINT CANDIDATE COMMITTEES,JOINT CANDIDATE COMMITTEE,CANDIDATE CONTRIBUTIONS,44,"$4,749,961"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,CANDIDATE COMMITTEES,CANDIDATE COMMITTEES,CANDIDATE CONTRIBUTIONS,30,"$3,892,260"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS,LAWYERS & LOBBYISTS,"4,514","$1,461,186"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,SCHOOLS & COLLEGES,EDUCATION,GOVERNMENT AGENCIES/EDUCATION/OTHER,"3,033","$522,608"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,"SECURITIES, COMMODITIES & INVESTMENT",SECURITIES & INVESTMENT,"FINANCE, INSURANCE & REAL ESTATE",552,"$464,291"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,RETIRED,RETIRED,GOVERNMENT AGENCIES/EDUCATION/OTHER,"2,834","$373,728"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,INTERNET & ONLINE SERVICES,COMPUTER EQUIPMENT & SERVICES,COMMUNICATIONS & ELECTRONICS,"1,046","$293,254"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,CANDIDATE CONTRIBUTION,CANDIDATE CONTRIBUTIONS,CANDIDATE CONTRIBUTIONS,132,"$291,854"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS,LAWYERS & LOBBYISTS,626,"$251,371"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,RETIRED,RETIRED,GOVERNMENT AGENCIES/EDUCATION/OTHER,"1,269","$225,873"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,COMPUTER SOFTWARE,COMPUTER EQUIPMENT & SERVICES,COMMUNICATIONS & ELECTRONICS,"1,017","$208,122"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,MAJOR (MULTINATIONAL) OIL & GAS PRODUCERS,OIL & GAS,ENERGY & NATURAL RESOURCES,"1,281","$191,687"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,CIVIL SERVANT/PUBLIC EMPLOYEE,CIVIL SERVANTS/PUBLIC OFFICIALS,GOVERNMENT AGENCIES/EDUCATION/OTHER,"1,212","$144,622"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,PACS OPERATED BY REPUBLICAN MEMBERS OF CONGRESS OR PROMINENT NATIONAL REPUBLICANS,LEADERSHIP PACS,CANDIDATE CONTRIBUTIONS,35,"$142,700"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,REAL ESTATE DEVELOPERS & SUBDIVIDERS,REAL ESTATE,"FINANCE, INSURANCE & REAL ESTATE",256,"$136,911"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,COMPUTER MANUFACTURE & SERVICES,COMPUTER EQUIPMENT & SERVICES,COMMUNICATIONS & ELECTRONICS,850,"$135,148"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,REAL ESTATE DEVELOPERS & SUBDIVIDERS,REAL ESTATE,"FINANCE, INSURANCE & REAL ESTATE",167,"$132,830"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,OIL & GAS,OIL & GAS,ENERGY & NATURAL RESOURCES,397,"$128,262"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,HOSPITALS,HOSPITALS & NURSING HOMES,HEALTH,627,"$126,107"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,AIRLINES,AIR TRANSPORT,TRANSPORTATION,427,"$117,903"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,"SECURITIES, COMMODITIES & INVESTMENT",SECURITIES & INVESTMENT,"FINANCE, INSURANCE & REAL ESTATE",210,"$112,463"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,PHYSICIANS,HEALTH PROFESSIONALS,HEALTH,454,"$107,617"
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,MEDICAL SCHOOLS,EDUCATION,GOVERNMENT AGENCIES/EDUCATION/OTHER,534,"$107,559"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,MAJOR (MULTINATIONAL) OIL & GAS PRODUCERS,OIL & GAS,ENERGY & NATURAL RESOURCES,402,"$101,642"
