candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,specific_business,general_industry,broad_sector,#_of_records,total_$
"MCGRATH, AMY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,UNITEMIZED (SMALL) CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,8,"$55,584,995"
"MCGRATH, AMY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,UNCODED,UNCODED,UNCODED,"224,713","$30,763,758"
"MCCONNELL, MITCH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,INCUMBENT,UNCODED,UNCODED,UNCODED,"320,723","$28,238,969"
"MCCONNELL, MITCH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,INCUMBENT,UNITEMIZED (SMALL) CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,26,"$28,062,411"
"MCCONNELL, MITCH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,INCUMBENT,PACS OPERATED BY REPUBLICAN MEMBERS OF CONGRESS OR PROMINENT NATIONAL REPUBLICANS,LEADERSHIP PACS,CANDIDATE CONTRIBUTIONS,105,"$2,203,566"
"MCGRATH, AMY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS,LAWYERS & LOBBYISTS,"3,517","$992,932"
"MCCONNELL, MITCH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,INCUMBENT,"SECURITIES, COMMODITIES & INVESTMENT",SECURITIES & INVESTMENT,"FINANCE, INSURANCE & REAL ESTATE",705,"$797,814"
"MCCONNELL, MITCH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,INCUMBENT,RETIRED,RETIRED,GOVERNMENT AGENCIES/EDUCATION/OTHER,"6,682","$707,978"
"MCCONNELL, MITCH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,INCUMBENT,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS,LAWYERS & LOBBYISTS,"1,731","$697,291"
"MCGRATH, AMY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,"SECURITIES, COMMODITIES & INVESTMENT",SECURITIES & INVESTMENT,"FINANCE, INSURANCE & REAL ESTATE",559,"$533,336"
"MCGRATH, AMY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,SCHOOLS & COLLEGES,EDUCATION,GOVERNMENT AGENCIES/EDUCATION/OTHER,"3,305","$533,191"
"MCGRATH, AMY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,RETIRED,RETIRED,GOVERNMENT AGENCIES/EDUCATION/OTHER,"3,510","$516,025"
"MCCONNELL, MITCH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,INCUMBENT,REAL ESTATE DEVELOPERS & SUBDIVIDERS,REAL ESTATE,"FINANCE, INSURANCE & REAL ESTATE",522,"$414,536"
"MCCONNELL, MITCH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,INCUMBENT,PHARMACEUTICAL MANUFACTURING,PHARMACEUTICALS & HEALTH PRODUCTS,HEALTH,384,"$335,401"
"MCCONNELL, MITCH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,INCUMBENT,LOBBYISTS & PUBLIC RELATIONS,LAWYERS & LOBBYISTS,LAWYERS & LOBBYISTS,429,"$290,364"
