candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,specific_business,general_industry,broad_sector,#_of_records,total_$
"KELLY, MARK",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,CHALLENGER,UNITEMIZED (SMALL) CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,61,"$41,841,704"
"KELLY, MARK",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,CHALLENGER,UNCODED,UNCODED,UNCODED,"353,086","$39,420,116"
"MCSALLY, MARTHA E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,INCUMBENT,UNCODED,UNCODED,UNCODED,"396,555","$35,394,317"
"MCSALLY, MARTHA E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,INCUMBENT,UNITEMIZED (SMALL) CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,11,"$28,142,498"
"KELLY, MARK",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,CHALLENGER,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS,LAWYERS & LOBBYISTS,"6,366","$2,059,060"
"MCSALLY, MARTHA E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,INCUMBENT,RETIRED,RETIRED,GOVERNMENT AGENCIES/EDUCATION/OTHER,"8,990","$1,097,068"
"KELLY, MARK",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,CHALLENGER,"SECURITIES, COMMODITIES & INVESTMENT",SECURITIES & INVESTMENT,"FINANCE, INSURANCE & REAL ESTATE",725,"$976,128"
"KELLY, MARK",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,CHALLENGER,RETIRED,RETIRED,GOVERNMENT AGENCIES/EDUCATION/OTHER,"8,160","$842,782"
"MCSALLY, MARTHA E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,INCUMBENT,"SECURITIES, COMMODITIES & INVESTMENT",SECURITIES & INVESTMENT,"FINANCE, INSURANCE & REAL ESTATE",940,"$773,020"
"KELLY, MARK",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,CHALLENGER,SCHOOLS & COLLEGES,EDUCATION,GOVERNMENT AGENCIES/EDUCATION/OTHER,"5,184","$768,783"
"MCSALLY, MARTHA E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,INCUMBENT,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS,LAWYERS & LOBBYISTS,"1,720","$497,168"
"MCSALLY, MARTHA E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,INCUMBENT,REAL ESTATE DEVELOPERS & SUBDIVIDERS,REAL ESTATE,"FINANCE, INSURANCE & REAL ESTATE",579,"$470,554"
"MCSALLY, MARTHA E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,AZ,2020,SPECIAL,US SENATE DISTRICT AZ SW-CLASS III,INCUMBENT,PACS OPERATED BY REPUBLICAN MEMBERS OF CONGRESS OR PROMINENT NATIONAL REPUBLICANS,LEADERSHIP PACS,CANDIDATE CONTRIBUTIONS,95,"$434,800"
