candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,specific_business,general_industry,broad_sector,#_of_records,total_$
"GIDEON, SARA I",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,CHALLENGER,UNCODED,UNCODED,UNCODED,"195,625","$32,086,996"
"GIDEON, SARA I",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,CHALLENGER,UNITEMIZED (SMALL) CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,62,"$30,547,676"
"COLLINS, SUSAN M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,INCUMBENT,UNCODED,UNCODED,UNCODED,"78,660","$13,704,160"
"COLLINS, SUSAN M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,INCUMBENT,UNITEMIZED (SMALL) CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,UNITEMIZED CONTRIBUTIONS,23,"$5,854,730"
"GIDEON, SARA I",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,CHALLENGER,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS,LAWYERS & LOBBYISTS,"6,778","$2,249,598"
"COLLINS, SUSAN M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,INCUMBENT,"SECURITIES, COMMODITIES & INVESTMENT",SECURITIES & INVESTMENT,"FINANCE, INSURANCE & REAL ESTATE",662,"$1,027,567"
"GIDEON, SARA I",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,CHALLENGER,SCHOOLS & COLLEGES,EDUCATION,GOVERNMENT AGENCIES/EDUCATION/OTHER,"5,486","$987,683"
"COLLINS, SUSAN M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,INCUMBENT,ATTORNEYS & LAW FIRMS,LAWYERS & LOBBYISTS,LAWYERS & LOBBYISTS,"1,402","$674,556"
"GIDEON, SARA I",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,CHALLENGER,"SECURITIES, COMMODITIES & INVESTMENT",SECURITIES & INVESTMENT,"FINANCE, INSURANCE & REAL ESTATE",800,"$668,304"
"GIDEON, SARA I",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,CHALLENGER,RETIRED,RETIRED,GOVERNMENT AGENCIES/EDUCATION/OTHER,"3,576","$640,396"
"GIDEON, SARA I",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,CHALLENGER,INTERNET & ONLINE SERVICES,COMPUTER EQUIPMENT & SERVICES,COMMUNICATIONS & ELECTRONICS,"1,381","$478,162"
"COLLINS, SUSAN M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,INCUMBENT,RETIRED,RETIRED,GOVERNMENT AGENCIES/EDUCATION/OTHER,"2,071","$440,326"
"COLLINS, SUSAN M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,INCUMBENT,REAL ESTATE DEVELOPERS & SUBDIVIDERS,REAL ESTATE,"FINANCE, INSURANCE & REAL ESTATE",343,"$398,769"
"COLLINS, SUSAN M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,INCUMBENT,PACS OPERATED BY REPUBLICAN MEMBERS OF CONGRESS OR PROMINENT NATIONAL REPUBLICANS,LEADERSHIP PACS,CANDIDATE CONTRIBUTIONS,89,"$388,100"
"GIDEON, SARA I",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,CHALLENGER,COMPUTER SOFTWARE,COMPUTER EQUIPMENT & SERVICES,COMMUNICATIONS & ELECTRONICS,"1,199","$366,536"
"GIDEON, SARA I",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,CHALLENGER,"BOOK, NEWSPAPER & PERIODICAL PUBLISHING",PRINTING & PUBLISHING,COMMUNICATIONS & ELECTRONICS,859,"$269,703"
"COLLINS, SUSAN M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2020,STANDARD,US SENATE DISTRICT ME SW-CLASS II,INCUMBENT,REPUBLICAN JOINT CANDIDATE COMMITTEES,JOINT CANDIDATE COMMITTEE,CANDIDATE CONTRIBUTIONS,6,"$257,501"
