election_jurisdiction,election_year,#_of_records,total_$
GA,2020,2195680,529536982
SC,2020,886034,232931039
KY,2020,620613,171082630
AZ,2020,845235,169847198
TX,2018,405712,121157053
FL,2018,116471,114316755
ME,2020,336770,106766164
MI,2020,267024,102268375
IA,2020,273504,90233081
MT,2020,203308,82042327
CO,2020,223037,79993994
NC,2020,195321,78748002
MA,2018,174380,55133743
PA,2016,104781,52242304
NJ,2018,10898,51802121
MO,2018,126090,49894346
AL,2020,114077,49051519
WI,2016,106865,45197465
NV,2018,100272,41147828
IN,2018,39042,39715688
KS,2020,71329,39452540
OH,2016,54516,38271817
TN,2018,29988,34855195
ND,2018,60755,34096157
NH,2016,58579,34089173
IL,2016,52279,31685451
AK,2020,42738,30108859
MN,2018,38082,29156697
VA,2018,36756,25489777
LA,2016,15923,24015909
NY,2016,13716,22999605
CA,2018,11345,21465604
WV,2018,14202,20762053
MD,2016,26652,17430089
MS,2018,12205,15000395
WA,2016,22197,13848270
AR,2020,30182,13729602
VT,2018,38323,13056711
OR,2016,9321,12488357
NM,2020,45470,11932537
CT,2018,37435,10930950
SD,2016,14189,9747881
WY,2018,5494,8976826
NE,2018,11834,8595659
DE,2020,8470,8000492
OK,2020,9891,7937058
RI,2018,34504,7900590
UT,2018,5778,7329623
ID,2016,4296,6443330
HI,2018,5598,4497161
DC,2016,0,0
