candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,#_of_records,total_$
"MCGRATH, AMY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,"256,794","$94,201,528"
"MCCONNELL, MITCH",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,INCUMBENT,"356,382","$71,100,180"
"BOOKER, CHARLES",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,OPEN,"6,186","$4,798,541"
"BROIHIER, MICHAEL GEORGE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,OPEN,"1,000","$565,431"
"TOBIN, MARY ANN",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,OPEN,5,"$169,340"
"BARRON, STEPHEN BRADLEY",LOST-GENERAL,LOST,LIBERTARIAN,THIRD-PARTY,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,65,"$112,187"
"MORGAN, CLINTON WESLEY (WES)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,146,"$72,251"
"JAMES, NAREN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,3,"$50,070"
"HILLIARD, MAGGIE JO",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,OPEN,7,"$8,618"
"ROTHMULLER, ERIC",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,OPEN,7,"$2,986"
"AUSBROOKS, JIMMY",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,OPEN,18,"$1,500"
"SMITH, BENNIE J",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,OPEN,0,$0
"DAS, KARL",WITHDREW-PRIMARY,WITHDREW,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,0,$0
"FRANGEDAKIS, PAUL JOHN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,0,$0
"ALSAGER, NICHOLAS",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,0,$0
"CROW, WENDELL K",DECEASED-PRIMARY,DECEASED,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,0,$0
"GRIDER, LOUIS",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,0,$0
"LOWNDES, KENNETH",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,0,$0
"MAYNARD, ANDREW J",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,OPEN,0,$0
"SHARPENSTEEN, JOHN R",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,OPEN,0,$0
"COBBLE, DANIEL",LOST-GENERAL,LOST,WRITEIN,THIRD-PARTY,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,0,$0
"FRANGEDAKIS, PAUL",LOST-GENERAL,LOST,WRITEIN,THIRD-PARTY,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,0,$0
"TEEGARDEN, RANDALL",LOST-GENERAL,LOST,WRITEIN,THIRD-PARTY,KY,2020,STANDARD,US SENATE DISTRICT KY SW-CLASS II,CHALLENGER,0,$0
